cloud
1 2 a D D O c O O O 0 | 4h 2d 4g 2a 8j 4i | Rb 0.25 Ho 0.17 Sc 0.08 Te 0.5
1 6 a O D D a D O D b O O O c O O O d O O O e O O O 0 | 4a 8c 4b | Li 0.25 Ni 0.5 I 0.25
1 2 a D D O c O O O 0 | 4i 2b 2d | Dy 0.5 Ge 0.17 As 0.08 Se 0.25
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4a 16e 4d | Ba 0.17 Ge 0.67 As 0.17
1 3 a D D O b O O O c O O O 0 | 8q 4i 4g 2d 4j | Pm 0.62 Er 0.23 Tm 0.15
1 3 a D D O b O O D c O O D 0 | 4c 8g 8e | Ac 0.17 Nd 0.33 Ho 0.5
1 3 a E C C n O O O e O O O 0 | 3b 6c 3a | Cr 0.25 B 0.5 Au 0.25
0 4 a O D D a D O D b O O O j B B B 0 | 16b 8a | Cu 0.02 H 0.4 C 0.34 N 0.05 O 0.19
0 1 c O D O 0 | 2a | P 0.2 H 0.6 Se 0.2
1 2 a D D O c O O O 0 | 4i 2a | Np 0.33 As 0.44 Pt 0.22
1 1 c O D D 0 | 4e | V 0.01 P 0.02 H 0.56 C 0.37 N 0.02 Cl 0.01 O 0.01
1 1 c O D D 0 | 4e | H 0.57 C 0.34 N 0.01 O 0.07
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4c 16e 4a | Y 0.17 Tl 0.67 In 0.17
0 2 a D D O j O O D 0 | 4a | Cu 0.33 Hg 0.17 Se 0.5
1 3 b O O O g O O O c O O O 0 | 1d 2f 1a 1b | Sc 0.2 Sb 0.4 H 0.2 I 0.2
1 3 b O O O g O O O c O O O 0 | 1b 2f 1a 1d | V 0.2 Fe 0.4 H 0.2 Ir 0.2
1 2 a D D O c O O O 0 | 4i 2b 2d | Pr 0.5 Si 0.08 Br 0.25 N 0.17
0 4 a D D D b O O O g O O O j O O O 0 | 4b 2a 8c | Ce 0.25 Zn 0.12 Ga 0.62
0 2 b O O D j D D O 0 | 4a | H 0.41 C 0.47 O 0.12
1 3 a D D O b O O O c O O O 0 | 2d 2c 4e | Hf 0.25 Ti 0.25 Zn 0.5
0 3 a O D D b O O O j O O O 0 | 4d 4e 2b 2a | Zr 0.5 Si 0.5
1 2 a D D O c O O D 0 | 8f 4e | Ca 0.67 Zn 0.17 Ni 0.17
0 2 n O O O l O O O 0 | 3c 2b 1a | Nb 0.38 Se 0.38 F 0.25
0 2 a D D O c O O O 0 | 4c 2b 2a | Sm 0.12 Gd 0.08 Pu 0.04 H 0.75
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4b 4d 4a 4c | K 0.25 Sr 0.25 Be 0.5
1 2 b D O D c O D O 0 | 4c 8d | Sc 0.14 Zn 0.71 Cd 0.14
0 4 a D D D b O O O m O O O c O O O 0 | 2a 4d 2b 8i | Nb 0.12 Cu 0.25 Ag 0.12 S 0.5
1 3 a E C C n O O O e O O O 0 | 3a 6c 3b | Pm 0.12 Ho 0.25 Mg 0.12 Hg 0.5
0 2 b O O O j O O O 0 | 1d 1a | Na 0.25 Li 0.25 Au 0.5
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4d 4c 4a 4b | Tb 0.25 Dy 0.25 Tl 0.25 Hg 0.25
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4b 4a 4d 4c | Ce 0.25 Eu 0.25 Zn 0.25 Pt 0.25
1 3 a E C C n O O O e O O O 0 | 6c 3a 3b | Co 0.5 Sb 0.25 Ir 0.25
1 2 n O O O e O O O 0 | 2d 1a 1b 6i | K 0.21 Tl 0.07 V 0.14 O 0.57
1 3 a E C C n O O O e O O O 0 | 3a 3b 6c | Ba 0.12 Ca 0.12 Ac 0.25 Tl 0.5
1 3 a D D D b O D O c O D O 0 | 4a 4c 4b 4d 8h 8i | Rb 0.25 Er 0.12 Mn 0.12 Se 0.5
1 3 a D D O b O O D c O O D 0 | 4c 8f 4b | Mg 0.14 Sn 0.29 O 0.57
0 4 b O O O g O O O c O O O h D D O 1 Y Y O | 4h 2c 8m 4g | K 0.13 Mg 0.07 Hg 0.8
0 3 a E C C n O O O k O O O 0 | 3a | Sr 0.5 Re 0.25 Tc 0.25
1 4 a D D D b O O O g O O O c O O D 0 | 4a 8h 16l 4c 4b | Nd 0.11 Sm 0.22 Er 0.56 Tm 0.11
0 3 b O O O m O O O j O O O 0 | 2g 1a 1d 1c 1b | Nd 0.2 Zn 0.7 Rh 0.1
0 4 a D D D b D D D g O D B h O D B 1 O Y Z | 16f | As 0.02 H 0.5 Pb 0.01 C 0.45 N 0.02
1 2 a D D O c O O O 0 | 4i 2a | Nb 0.21 Co 0.11 Ni 0.05 Se 0.63
1 4 b O O O c O O O d O O O e O O O 0 | 1a 3d 1b | V 0.2 Cr 0.6 Co 0.2
1 1 c O O O 0 | 1f 1g 1e 1a 2n 2m | Na 0.25 Dy 0.12 As 0.12 S 0.5
1 4 b O O O c O O O d O O O e O O O 0 | 1b 1a 3d | Y 0.2 Co 0.2 N 0.6
1 1 c O D D 0 | 4e | H 0.55 C 0.33 O 0.06 F 0.06
